"series","timestamp","value","label"
"Rise","2015-07-01T02:50:00Z",230,"1"
"Set","2015-07-01T18:25:00Z",1165,"1"
"Rise","2015-07-02T02:20:00Z",200,"1"
"Set","2015-07-02T17:45:00Z",1125,"1"
"Rise","2015-07-03T02:30:00Z",210,"1"
"Set","2015-07-03T18:05:00Z",1145,"1"
"Rise","2015-07-04T03:15:00Z",255,"1"
"Set","2015-07-04T18:15:00Z",1155,"1"
"Rise","2015-07-05T02:40:00Z",220,"1"
"Set","2015-07-05T18:15:00Z",1155,"1"
"Rise","2015-07-06T02:25:00Z",205,"1"
"Set","2015-07-06T18:20:00Z",1160,"1"
"Rise","2015-07-07T02:30:00Z",210,"1"
"Set","2015-07-07T18:15:00Z",1155,"1"
"Rise","2015-07-08T02:30:00Z",210,"1"
"Set","2015-07-08T18:15:00Z",1155,"1"
"Rise","2015-07-09T02:30:00Z",210,"1"
"Set","2015-07-09T18:10:00Z",1150,"1"
"Rise","2015-07-10T02:55:00Z",235,"1"
"Set","2015-07-10T18:05:00Z",1145,"1"
"Rise","2015-07-11T02:35:00Z",215,"1"
"Set","2015-07-11T18:05:00Z",1145,"1"
"Rise","2015-07-12T02:35:00Z",215,"1"
"Set","2015-07-12T17:55:00Z",1135,"1"
"Rise","2015-07-13T02:45:00Z",225,"1"
"Set","2015-07-13T17:55:00Z",1135,"1"
"Rise","2015-07-14T02:50:00Z",230,"1"
"Set","2015-07-14T18:05:00Z",1145,"1"
"Rise","2015-07-15T02:40:00Z",220,"1"
"Set","2015-07-15T18:00:00Z",1140,"1"
"Rise","2015-07-16T02:50:00Z",230,"1"
"Set","2015-07-16T18:00:00Z",1140,"1"
"Rise","2015-07-17T02:40:00Z",220,"1"
"Set","2015-07-17T18:15:00Z",1155,"1"
"Rise","2015-07-18T02:35:00Z",215,"1"
"Set","2015-07-18T18:00:00Z",1140,"1"
"Rise","2015-07-19T02:45:00Z",225,"1"
"Set","2015-07-19T18:05:00Z",1145,"1"
"Rise","2015-07-20T02:40:00Z",220,"1"
"Set","2015-07-20T17:50:00Z",1130,"1"
"Rise","2015-07-21T02:50:00Z",230,"1"
"Set","2015-07-21T18:10:00Z",1150,"1"
"Rise","2015-07-22T02:45:00Z",225,"1"
"Set","2015-07-22T18:00:00Z",1140,"1"
"Rise","2015-07-23T02:40:00Z",220,"1"
"Set","2015-07-23T18:05:00Z",1145,"1"
"Rise","2015-07-24T02:35:00Z",215,"1"
"Set","2015-07-24T17:55:00Z",1135,"1"
"Rise","2015-07-25T02:35:00Z",215,"1"
"Set","2015-07-25T17:50:00Z",1130,"1"
"Rise","2015-07-26T02:45:00Z",225,"1"
"Set","2015-07-26T17:50:00Z",1130,"1"
"Rise","2015-07-27T02:55:00Z",235,"1"
"Set","2015-07-27T17:40:00Z",1120,"1"
"Rise","2015-07-28T03:10:00Z",250,"2"
"Set","2015-07-28T17:40:00Z",1120,"2"
"Rise","2015-07-29T02:50:00Z",230,"2"
"Set","2015-07-29T17:50:00Z",1130,"2"
"Rise","2015-07-30T02:55:00Z",235,"2"
"Set","2015-07-30T17:30:00Z",1110,"2"
"Rise","2015-07-31T02:55:00Z",235,"2"
"Set","2015-07-31T17:25:00Z",1105,"2"
"Rise","2015-08-01T02:55:00Z",235,"2"
"Set","2015-08-01T17:45:00Z",1125,"2"
"Rise","2015-08-02T02:55:00Z",235,"2"
"Set","2015-08-02T17:45:00Z",1125,"2"
"Rise","2015-08-03T02:55:00Z",235,"2"
"Set","2015-08-03T17:45:00Z",1125,"2"
"Rise","2015-08-04T02:55:00Z",235,"2"
"Set","2015-08-04T17:30:00Z",1110,"2"
"Rise","2015-08-05T02:50:00Z",230,"2"
"Set","2015-08-05T17:35:00Z",1115,"2"
"Rise","2015-08-06T03:00:00Z",240,"2"
"Set","2015-08-06T17:15:00Z",1095,"2"
"Rise","2015-08-07T03:00:00Z",240,"2"
"Set","2015-08-07T17:30:00Z",1110,"2"
